latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.959578,75.81576,438.0,19800,Asia/Kolkata,GMT+5:30

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),wind_speed_10m_min (km/h),wind_speed_10m_mean (km/h)
2015-01-19,1,13.8,20.6,7.0,0.00,0.00,8.9,93,38,68,2.6,6.7
2015-01-20,3,14.1,20.7,8.3,0.00,0.00,18.3,94,39,68,7.8,11.9
2015-01-21,51,15.5,21.2,11.4,0.50,0.50,16.9,90,57,76,7.0,13.0
2015-01-22,61,15.2,19.0,12.6,8.00,8.00,14.1,96,72,87,2.2,6.9
2015-01-23,51,14.7,18.0,12.0,0.50,0.50,8.3,99,64,87,2.1,5.5
2015-01-24,3,13.2,18.0,9.5,0.00,0.00,8.5,98,48,76,2.5,6.0
2015-01-25,3,13.7,18.9,7.7,0.00,0.00,9.4,93,50,72,2.0,6.5
2015-01-26,3,14.1,17.8,11.6,0.00,0.00,9.2,89,51,74,2.6,5.7
2015-01-27,3,13.2,18.0,9.2,0.00,0.00,9.8,96,40,68,1.1,6.6
2015-01-28,1,11.3,16.7,6.7,0.00,0.00,11.0,91,38,66,5.7,8.5
2015-01-29,0,11.1,18.5,4.2,0.00,0.00,9.3,93,35,65,1.6,6.9
2015-01-30,0,11.8,19.1,5.1,0.00,0.00,9.7,89,30,59,3.2,7.3
2015-01-31,0,13.6,21.3,5.4,0.00,0.00,8.9,80,30,53,1.3,6.3
2015-02-01,1,15.3,22.8,7.8,0.00,0.00,16.3,81,38,59,7.2,10.8
2015-02-02,1,17.0,23.4,11.7,0.00,0.00,17.3,84,46,69,6.1,13.8
2015-02-03,0,16.4,23.4,11.3,0.00,0.00,17.7,96,39,71,4.8,9.9
2015-02-04,0,14.5,22.2,8.2,0.00,0.00,12.6,95,28,65,6.5,9.6
2015-02-05,2,13.6,21.6,6.6,0.00,0.00,8.9,97,27,63,1.3,5.8
2015-02-06,3,15.2,22.8,8.2,0.00,0.00,13.7,83,34,59,6.6,9.5
2015-02-07,61,16.5,22.9,12.1,2.20,2.20,14.8,88,48,68,7.6,11.0
2015-02-08,51,17.3,23.4,12.2,0.10,0.10,13.8,96,42,70,0.7,8.1
2015-02-09,1,17.3,23.6,11.9,0.00,0.00,12.0,81,32,57,2.9,8.5
2015-02-10,1,17.2,23.8,10.9,0.00,0.00,9.7,80,28,53,0.4,5.8
2015-02-11,0,16.9,23.9,9.9,0.00,0.00,9.6,84,33,56,2.8,6.7
2015-02-12,0,16.7,23.9,10.7,0.00,0.00,10.6,80,22,49,2.9,8.6
2015-02-13,0,17.5,26.5,8.5,0.00,0.00,14.1,68,24,44,1.4,8.2
2015-02-14,0,20.8,29.4,13.4,0.00,0.00,19.5,58,25,43,8.3,12.6
2015-02-15,3,20.9,28.7,13.0,0.00,0.00,10.2,88,25,53,1.6,6.3
2015-02-16,3,21.4,29.1,14.2,0.00,0.00,17.0,80,31,54,7.7,11.4
2015-02-17,0,21.7,29.6,14.2,0.00,0.00,12.2,95,30,61,0.7,7.5
2015-02-18,61,21.2,27.7,15.2,2.20,2.20,9.9,94,38,67,4.3,7.1
2015-02-19,53,22.7,30.4,15.6,0.70,0.70,13.4,85,22,47,5.4,9.7
2015-02-20,1,22.7,30.5,15.4,0.00,0.00,11.5,86,19,43,1.9,7.2
2015-02-21,0,22.7,31.0,14.2,0.00,0.00,15.5,70,21,43,4.5,9.4
2015-02-22,3,23.1,31.3,16.0,0.00,0.00,15.4,72,22,46,7.6,11.7
2015-02-23,3,23.2,30.9,15.5,0.00,0.00,9.4,76,26,47,1.1,6.2
2015-02-24,3,23.7,31.3,16.2,0.00,0.00,15.5,79,26,48,5.9,9.8
2015-02-25,3,23.5,29.2,17.7,0.00,0.00,22.1,56,18,34,1.5,11.5
2015-02-26,3,18.7,25.1,12.3,0.00,0.00,11.7,23,14,19,2.3,9.5
2015-02-27,0,18.7,25.5,12.0,0.00,0.00,12.2,41,16,26,1.0,7.7
2015-02-28,61,19.6,26.7,14.1,3.50,3.50,22.1,80,25,45,10.4,16.5
2015-03-01,63,17.6,21.2,15.4,32.40,32.40,21.5,97,58,83,9.0,14.3
2015-03-02,63,16.6,20.8,14.4,12.40,12.40,13.8,96,60,83,5.8,10.4
2015-03-03,2,15.9,21.5,10.7,0.00,0.00,11.8,97,35,66,5.1,8.4
2015-03-04,1,16.2,22.4,10.2,0.00,0.00,12.3,86,36,60,2.9,7.2
2015-03-05,1,17.8,24.2,11.4,0.00,0.00,13.9,77,34,55,3.3,9.4
2015-03-06,53,19.2,25.7,12.7,0.50,0.50,9.3,78,34,54,4.7,7.7
2015-03-07,53,19.8,26.5,15.0,1.00,1.00,16.3,83,34,59,5.5,11.0
2015-03-08,1,19.6,26.1,14.0,0.00,0.00,18.4,94,31,61,0.8,7.8
2015-03-09,0,17.3,24.0,11.4,0.00,0.00,18.3,50,21,35,8.6,13.6
2015-03-10,3,16.5,23.7,9.6,0.00,0.00,12.1,86,29,53,3.9,7.7
2015-03-11,3,18.8,27.0,10.2,0.00,0.00,12.8,82,26,48,1.0,6.9
2015-03-12,61,20.8,28.0,14.4,4.40,4.40,12.8,88,32,53,3.6,8.1
2015-03-13,61,20.8,28.4,16.2,3.90,3.90,17.3,84,36,64,1.4,8.4
2015-03-14,51,19.5,25.1,15.7,0.60,0.60,14.3,91,45,72,1.3,7.5
2015-03-15,61,18.4,23.0,14.8,4.20,4.20,25.2,97,63,83,6.3,15.9
2015-03-16,53,18.7,24.1,15.3,0.80,0.80,13.0,97,54,79,2.5,9.6
2015-03-17,3,19.5,26.1,13.7,0.00,0.00,16.1,97,32,66,4.5,9.7
2015-03-18,0,19.1,26.0,12.7,0.00,0.00,15.8,92,29,58,7.1,10.5
2015-03-19,3,20.3,28.0,12.3,0.00,0.00,9.4,85,31,56,2.3,7.0
2015-03-20,2,22.7,30.4,14.6,0.00,0.00,10.2,82,28,52,5.4,8.1
2015-03-21,51,24.7,31.7,18.5,0.10,0.10,11.2,69,29,49,2.2,8.4
2015-03-22,3,25.7,32.9,18.4,0.00,0.00,18.3,71,25,45,1.9,9.5
2015-03-23,1,25.8,33.4,17.4,0.00,0.00,18.9,76,24,45,1.8,9.1
2015-03-24,0,27.4,35.7,19.2,0.00,0.00,13.9,56,18,36,6.0,9.1
2015-03-25,51,28.4,35.8,20.6,0.30,0.30,15.0,55,20,37,1.3,8.2
2015-03-26,51,28.3,35.1,21.8,0.10,0.10,13.4,59,22,40,3.3,9.3
2015-03-27,3,28.7,34.8,22.5,0.00,0.00,11.1,56,23,38,2.2,6.2
2015-03-28,3,28.3,35.6,20.1,0.00,0.00,10.2,62,21,36,5.0,7.9
2015-03-29,61,26.9,33.8,22.5,2.20,2.20,14.2,51,22,37,4.4,9.6
2015-03-30,3,26.0,32.3,19.7,0.00,0.00,21.5,84,19,42,7.8,12.2
2015-03-31,3,24.9,31.8,18.1,0.00,0.00,15.1,92,25,56,3.9,8.9
2015-04-01,2,26.7,34.1,18.2,0.00,0.00,12.8,90,21,49,6.1,9.3
2015-04-02,51,27.7,34.8,19.6,0.40,0.40,13.7,54,27,39,6.6,8.9
2015-04-03,51,27.5,33.6,22.7,0.40,0.40,23.1,68,27,45,6.3,13.3
2015-04-04,53,23.8,28.2,19.4,1.70,1.70,19.0,89,43,63,4.2,9.6
2015-04-05,51,23.8,29.1,18.8,0.40,0.40,11.3,83,44,61,2.4,7.4
2015-04-06,2,25.0,31.1,17.8,0.00,0.00,10.2,84,26,49,2.8,5.8
2015-04-07,2,25.6,30.8,19.7,0.00,0.00,10.6,55,25,39,1.8,6.6
2015-04-08,0,25.7,32.7,19.4,0.00,0.00,12.9,72,18,42,2.5,9.0
2015-04-09,0,25.7,33.3,17.5,0.00,0.00,12.1,62,16,35,1.8,8.6
2015-04-10,3,26.9,34.7,17.6,0.00,0.00,12.0,61,14,32,1.5,8.0
2015-04-11,51,27.8,35.1,21.2,0.40,0.40,13.2,48,15,31,2.1,7.4
2015-04-12,63,22.7,28.4,19.6,8.50,8.50,14.1,81,43,66,0.5,7.5
2015-04-13,61,22.4,28.9,18.4,2.80,2.80,17.2,88,46,72,5.9,11.5
2015-04-14,51,23.4,28.3,18.3,0.10,0.10,15.1,94,41,66,5.6,10.4
2015-04-15,51,24.8,30.0,19.0,0.10,0.10,12.6,87,40,61,5.8,8.4
2015-04-16,2,26.3,32.9,19.4,0.00,0.00,12.6,90,32,56,5.6,8.3
2015-04-17,3,28.3,36.9,20.0,0.00,0.00,15.9,77,19,44,6.4,9.9
2015-04-18,0,30.2,38.9,20.2,0.00,0.00,17.5,62,15,32,1.8,9.3
2015-04-19,1,31.6,39.7,22.5,0.00,0.00,9.9,56,14,30,3.4,8.2
2015-04-20,0,32.0,40.2,24.8,0.00,0.00,20.2,42,8,21,8.8,13.2
2015-04-21,1,31.3,38.5,24.2,0.00,0.00,21.9,36,10,20,9.8,13.1
2015-04-22,2,31.0,38.7,22.6,0.00,0.00,13.7,43,11,20,0.8,8.2
2015-04-23,2,30.6,38.1,22.8,0.00,0.00,8.9,43,10,21,2.3,6.3
2015-04-24,0,31.1,39.2,23.5,0.00,0.00,17.9,24,7,16,6.6,11.5
2015-04-25,1,31.1,39.7,22.3,0.00,0.00,22.7,30,8,18,1.1,12.7
2015-04-26,2,30.4,37.4,23.2,0.00,0.00,19.7,60,22,38,1.3,10.5
2015-04-27,51,31.9,39.7,24.7,0.20,0.20,15.7,59,15,37,3.4,11.1
2015-04-28,1,32.6,40.4,24.4,0.00,0.00,16.8,49,9,25,6.6,12.0
2015-04-29,2,31.4,38.2,23.9,0.00,0.00,12.4,55,12,30,1.8,7.4
2015-04-30,1,32.7,41.3,24.6,0.00,0.00,21.9,45,6,22,10.2,14.6
2015-05-01,0,31.5,38.5,23.9,0.00,0.00,18.1,42,10,21,8.0,11.8
2015-05-02,1,30.8,37.5,22.8,0.00,0.00,11.2,44,13,24,2.7,7.8
2015-05-03,2,31.7,38.7,24.1,0.00,0.00,14.9,30,9,19,6.5,10.2
2015-05-04,0,32.0,39.6,24.0,0.00,0.00,11.8,31,8,18,5.4,9.6
2015-05-05,2,32.7,40.4,25.4,0.00,0.00,10.8,44,8,18,1.5,6.8
2015-05-06,0,33.0,41.3,24.7,0.00,0.00,17.0,23,7,14,8.6,13.1
2015-05-07,1,34.5,41.3,27.9,0.00,0.00,20.0,20,9,14,7.2,15.7
2015-05-08,3,33.6,40.2,26.8,0.00,0.00,18.8,24,11,17,8.4,13.5
2015-05-09,3,33.6,40.2,27.6,0.00,0.00,18.0,28,9,17,9.1,13.9
2015-05-10,51,32.9,39.7,26.0,0.10,0.10,15.5,29,15,21,8.2,11.5
2015-05-11,53,32.5,38.6,26.3,0.90,0.90,15.5,45,22,32,5.8,9.3
2015-05-12,3,31.7,37.4,25.8,0.00,0.00,18.9,61,24,40,1.5,7.5
2015-05-13,53,30.2,36.7,24.9,1.00,1.00,15.9,64,25,45,3.6,7.7
2015-05-14,1,30.5,36.2,24.5,0.00,0.00,9.7,72,25,43,3.2,6.2
2015-05-15,1,31.4,37.9,24.1,0.00,0.00,14.9,65,19,37,2.8,7.9
2015-05-16,0,32.1,39.5,24.2,0.00,0.00,16.7,59,18,34,3.6,10.1
2015-05-17,1,33.6,41.2,26.0,0.00,0.00,18.6,53,16,32,6.3,11.0
2015-05-18,1,34.6,43.0,25.4,0.00,0.00,19.2,61,11,28,1.9,11.6
2015-05-19,51,35.4,42.7,29.1,0.30,0.30,23.7,38,17,25,6.1,14.9
2015-05-20,61,33.2,40.4,25.8,1.60,1.60,17.7,58,22,37,6.2,11.3
2015-05-21,3,33.9,41.4,25.6,0.00,0.00,20.7,42,12,26,7.6,14.4
2015-05-22,2,35.2,42.1,28.6,0.00,0.00,24.9,37,10,23,12.4,17.7
2015-05-23,2,35.3,42.1,29.7,0.00,0.00,26.1,32,10,22,12.8,20.0
2015-05-24,1,35.2,41.1,30.6,0.00,0.00,27.7,35,13,26,9.8,18.7
2015-05-25,3,35.5,42.3,29.3,0.00,0.00,27.0,46,11,27,10.8,19.4
2015-05-26,2,35.4,42.0,30.2,0.00,0.00,23.8,46,11,27,10.9,17.7
2015-05-27,0,33.3,41.4,23.9,0.00,0.00,13.8,21,4,12,4.1,9.1
2015-05-28,53,33.8,41.3,28.2,0.90,0.90,20.8,42,16,29,6.8,11.9
2015-05-29,0,34.0,40.8,25.9,0.00,0.00,16.7,45,15,28,5.4,10.3
2015-05-30,2,34.5,41.1,26.8,0.00,0.00,17.2,37,14,23,4.1,10.5
2015-05-31,1,34.4,41.0,26.5,0.00,0.00,14.8,40,11,23,5.4,8.7
2015-06-01,53,33.2,39.6,26.7,0.80,0.80,17.6,32,16,24,2.4,9.7
2015-06-02,51,32.0,37.7,26.9,0.80,0.80,16.7,51,22,33,3.1,8.4
2015-06-03,61,30.7,36.7,25.7,1.40,1.40,19.9,51,24,37,2.0,8.7
2015-06-04,51,29.3,34.4,23.3,0.60,0.60,14.7,72,35,50,3.0,5.8
2015-06-05,1,31.0,37.4,23.8,0.00,0.00,12.0,70,20,39,2.8,6.9
2015-06-06,1,32.2,38.4,25.7,0.00,0.00,17.3,48,18,31,5.4,11.1
2015-06-07,1,33.6,40.8,24.8,0.00,0.00,15.1,55,13,28,1.6,9.2
2015-06-08,2,35.6,42.2,28.1,0.00,0.00,18.9,32,12,21,3.5,10.2
2015-06-09,3,32.8,36.7,29.7,0.00,0.00,28.6,48,31,38,10.2,20.2
2015-06-10,2,32.7,38.4,28.2,0.00,0.00,22.7,61,31,44,6.7,14.4
2015-06-11,3,32.4,36.3,28.5,0.00,0.00,18.2,58,36,46,7.8,12.3
2015-06-12,51,31.8,37.5,26.9,0.80,0.80,14.6,75,34,53,5.8,10.3
2015-06-13,53,32.9,38.2,28.4,0.90,0.90,17.8,60,29,44,6.9,10.9
2015-06-14,55,30.4,36.4,26.2,2.50,2.50,14.0,75,37,59,3.4,9.3
2015-06-15,53,30.4,35.7,25.7,1.80,1.80,17.6,80,41,60,5.0,10.7
2015-06-16,2,31.5,36.9,26.9,0.00,0.00,13.7,71,36,53,3.3,7.4
2015-06-17,55,31.6,36.4,26.2,1.50,1.50,9.4,81,37,55,4.3,6.5
2015-06-18,1,33.3,38.8,27.7,0.00,0.00,8.7,68,25,43,2.8,6.7
2015-06-19,1,34.0,38.8,28.1,0.00,0.00,11.0,58,26,38,1.8,6.1
2015-06-20,2,34.6,39.8,28.7,0.00,0.00,13.3,57,29,41,5.4,9.1
2015-06-21,51,33.6,38.1,29.6,0.30,0.30,16.7,61,36,49,9.7,13.1
2015-06-22,51,32.8,37.5,28.6,0.30,0.30,14.3,68,35,51,4.1,8.9
2015-06-23,61,31.8,38.0,27.9,2.40,2.40,12.6,77,36,58,3.1,6.6
2015-06-24,61,29.6,34.3,25.8,8.30,8.30,8.7,94,48,70,2.3,5.6
2015-06-25,53,28.4,33.7,25.4,3.10,3.10,19.1,95,47,74,0.8,9.2
2015-06-26,51,30.1,34.8,25.6,0.30,0.30,22.6,82,44,62,4.8,12.8
2015-06-27,51,31.4,36.3,26.7,0.20,0.20,16.9,70,39,56,4.3,11.1
2015-06-28,2,32.4,37.5,27.6,0.00,0.00,18.0,65,32,49,5.8,11.0
2015-06-29,63,31.0,36.9,26.2,15.20,15.20,14.7,94,37,59,3.5,8.5
2015-06-30,63,28.1,33.6,24.5,9.70,9.70,11.1,98,53,79,1.5,7.7
2015-07-01,55,29.7,34.9,25.0,1.20,1.20,18.5,95,44,67,3.7,9.8
2015-07-02,51,30.1,34.6,25.7,0.60,0.60,16.6,84,45,62,1.4,8.6
2015-07-03,51,31.2,35.0,27.3,0.20,0.20,18.1,64,44,53,5.4,12.0
2015-07-04,1,31.8,36.1,28.3,0.00,0.00,23.0,62,38,49,6.5,16.6
2015-07-05,2,32.2,36.7,27.8,0.00,0.00,23.9,64,36,48,14.9,19.4
2015-07-06,3,31.9,35.7,28.0,0.00,0.00,24.2,66,36,50,6.4,15.2
2015-07-07,53,30.6,34.4,26.2,3.00,3.00,17.7,87,46,60,1.8,9.4
2015-07-08,63,28.8,33.4,25.5,19.00,19.00,13.2,92,51,74,4.0,8.7
2015-07-09,65,26.9,30.1,24.9,23.90,23.90,21.3,93,69,84,2.1,12.5
2015-07-10,61,26.8,30.3,24.5,14.70,14.70,11.3,96,65,84,0.7,6.1
2015-07-11,53,25.4,28.6,23.5,7.00,7.00,9.7,97,73,87,4.9,7.0
2015-07-12,51,27.1,31.0,23.5,0.30,0.30,24.2,93,58,76,4.8,13.2
2015-07-13,51,28.3,33.3,24.9,0.20,0.20,16.6,89,54,75,7.7,11.4
2015-07-14,51,29.6,33.9,26.1,0.30,0.30,19.9,88,52,68,5.9,12.8
2015-07-15,3,30.7,34.5,27.6,0.00,0.00,22.7,68,44,55,8.7,15.9
2015-07-16,3,30.2,33.9,27.4,0.00,0.00,21.0,65,45,55,9.4,14.3
2015-07-17,53,28.7,31.2,26.5,2.90,2.90,10.8,83,57,67,1.1,4.9
2015-07-18,61,28.1,31.4,24.4,5.60,5.60,8.9,91,59,77,1.9,6.5
2015-07-19,61,27.2,31.3,24.5,8.50,8.50,8.0,96,63,84,2.7,6.1
2015-07-20,63,26.6,29.4,24.4,12.40,12.40,9.8,96,68,84,2.0,5.8
2015-07-21,61,26.8,30.6,24.7,8.90,8.90,10.7,94,67,85,2.3,5.5
2015-07-22,61,27.7,31.6,24.6,4.30,4.30,10.5,96,63,82,3.2,7.9
2015-07-23,61,28.0,32.0,25.2,5.50,5.50,14.8,94,62,81,2.9,9.0
2015-07-24,63,27.4,30.6,24.9,14.30,14.30,9.4,96,69,85,2.3,6.1
2015-07-25,63,26.7,30.4,24.5,10.70,10.70,11.4,97,66,85,3.4,7.3
2015-07-26,61,25.1,26.6,23.2,5.10,5.10,20.9,94,76,87,11.2,16.6
2015-07-27,55,24.9,28.1,22.6,3.00,3.00,29.1,97,70,84,18.8,23.7
2015-07-28,63,24.9,26.8,23.0,4.60,4.60,29.0,89,71,81,14.8,23.0
2015-07-29,63,23.9,26.7,21.1,11.60,11.60,26.7,97,80,88,13.9,21.0
2015-07-30,53,25.3,28.3,23.4,5.30,5.30,25.5,94,72,85,14.8,20.0
2015-07-31,53,25.6,27.6,24.0,2.10,2.10,26.9,90,68,79,12.7,17.6
2015-08-01,51,25.7,27.6,24.4,1.10,1.10,18.8,84,69,78,7.5,13.3
2015-08-02,51,26.3,29.5,23.7,0.60,0.60,14.7,91,61,77,6.1,10.1
2015-08-03,51,27.0,30.4,23.7,0.50,0.50,15.3,89,63,76,7.1,9.9
2015-08-04,53,27.5,31.7,24.4,1.20,1.20,13.9,87,63,78,5.2,10.7
2015-08-05,61,27.3,31.0,24.9,3.90,3.90,10.6,95,67,82,1.1,6.3
2015-08-06,53,27.4,30.1,24.6,3.10,3.10,13.6,94,68,80,3.6,8.8
2015-08-07,3,27.9,31.3,24.8,0.00,0.00,13.3,85,63,75,3.6,8.9
2015-08-08,55,27.7,30.9,25.9,2.30,2.30,11.5,91,62,77,1.9,8.0
2015-08-09,51,27.9,31.7,25.3,1.00,1.00,11.4,91,60,77,2.9,8.5
2015-08-10,51,28.2,31.9,25.4,0.20,0.20,10.8,91,60,77,5.0,7.7
2015-08-11,61,27.3,29.7,25.3,6.80,6.80,11.6,95,74,86,2.7,7.6
2015-08-12,53,26.6,30.7,24.0,4.70,4.70,8.2,99,68,88,1.3,3.5
2015-08-13,61,27.5,31.4,24.4,3.00,3.00,8.0,98,66,85,1.0,4.6
2015-08-14,63,26.8,30.9,24.4,12.20,12.20,8.8,97,69,87,0.7,4.1
2015-08-15,55,27.0,30.9,24.4,3.60,3.60,11.5,97,66,85,2.5,7.9
2015-08-16,61,25.7,29.1,24.1,6.90,6.90,14.6,96,72,88,7.6,10.9
2015-08-17,51,27.1,30.7,24.1,1.10,1.10,12.2,94,68,83,6.2,10.0
2015-08-18,3,28.2,32.2,24.8,0.00,0.00,17.9,92,63,77,8.8,13.2
2015-08-19,2,27.5,31.3,24.0,0.00,0.00,23.7,89,59,74,11.5,16.0
2015-08-20,3,27.2,30.3,24.7,0.00,0.00,23.0,82,56,70,12.7,16.8
2015-08-21,2,26.9,30.5,24.3,0.00,0.00,23.7,82,52,69,9.5,15.7
2015-08-22,2,27.1,31.1,24.2,0.00,0.00,20.0,80,54,70,10.2,13.9
2015-08-23,51,27.6,31.4,24.3,0.80,0.80,19.9,83,59,71,9.7,13.7
2015-08-24,51,27.4,31.6,24.0,0.50,0.50,19.5,86,52,69,10.0,13.1
2015-08-25,1,28.0,32.5,23.8,0.00,0.00,18.2,83,53,69,9.1,13.8
2015-08-26,0,28.6,33.4,24.0,0.00,0.00,13.8,83,50,66,5.9,11.2
2015-08-27,2,29.2,33.3,24.7,0.00,0.00,13.4,79,48,63,2.2,8.3
2015-08-28,3,29.5,33.5,25.4,0.00,0.00,15.0,76,46,61,1.6,9.5
2015-08-29,51,30.1,34.5,26.4,0.10,0.10,16.8,72,46,60,6.9,12.5
2015-08-30,1,29.9,34.3,25.5,0.00,0.00,17.3,75,43,59,6.3,12.4
2015-08-31,1,29.6,34.7,24.7,0.00,0.00,16.7,77,37,57,9.4,12.8
2015-09-01,1,29.0,33.4,24.5,0.00,0.00,17.0,73,38,56,10.1,14.0
2015-09-02,1,28.6,33.7,23.4,0.00,0.00,16.6,74,33,52,8.3,12.4
2015-09-03,1,28.8,33.7,23.4,0.00,0.00,12.7,72,31,50,3.6,8.8
2015-09-04,1,29.5,34.9,23.8,0.00,0.00,14.3,69,28,47,7.4,9.7
2015-09-05,1,30.1,35.1,25.0,0.00,0.00,18.0,63,28,43,7.2,11.8
2015-09-06,2,29.6,34.0,25.0,0.00,0.00,16.5,63,32,45,6.1,11.6
2015-09-07,2,29.4,33.6,24.5,0.00,0.00,13.4,62,34,46,5.2,8.8
2015-09-08,1,29.8,35.0,23.7,0.00,0.00,11.8,67,30,44,6.6,9.3
2015-09-09,1,30.2,35.0,25.0,0.00,0.00,14.2,59,29,42,9.8,11.5
2015-09-10,2,30.6,35.3,25.1,0.00,0.00,12.0,60,28,41,7.4,9.7
2015-09-11,1,31.5,37.7,24.3,0.00,0.00,13.5,60,20,35,4.1,8.8
2015-09-12,1,31.4,37.5,23.9,0.00,0.00,14.7,67,24,39,1.8,8.0
2015-09-13,3,31.5,37.6,24.9,0.00,0.00,10.8,86,25,49,3.0,6.1
2015-09-14,3,32.0,38.4,24.3,0.00,0.00,13.1,82,22,43,0.4,6.7
2015-09-15,2,31.8,36.9,24.5,0.00,0.00,12.6,68,26,39,0.8,6.5
2015-09-16,2,31.3,36.9,25.0,0.00,0.00,10.7,74,30,46,3.8,6.5
2015-09-17,3,31.1,36.4,26.3,0.00,0.00,15.8,73,30,51,4.1,11.3
2015-09-18,61,28.9,33.7,25.9,3.80,3.80,19.8,85,46,67,10.4,15.1
2015-09-19,51,29.0,33.5,24.8,0.20,0.20,20.5,92,48,70,11.9,15.8
2015-09-20,1,30.3,35.2,25.4,0.00,0.00,14.8,78,38,55,5.8,10.3
2015-09-21,3,29.9,35.0,26.4,0.00,0.00,16.2,76,38,57,6.0,11.8
2015-09-22,3,28.3,30.6,25.4,0.00,0.00,25.1,75,53,61,9.0,16.1
2015-09-23,1,28.0,33.1,23.0,0.00,0.00,14.1,88,40,61,4.6,9.7
2015-09-24,2,27.9,34.0,21.9,0.00,0.00,18.6,76,18,42,7.6,13.6
2015-09-25,2,28.4,34.1,21.9,0.00,0.00,16.0,73,24,42,6.1,11.6
2015-09-26,1,28.8,34.2,22.7,0.00,0.00,15.4,71,26,44,6.1,11.0
2015-09-27,1,29.2,34.6,23.5,0.00,0.00,16.3,68,26,43,5.2,9.2
2015-09-28,1,29.2,34.8,22.5,0.00,0.00,12.3,72,25,42,1.3,6.0
2015-09-29,1,29.9,36.0,22.9,0.00,0.00,14.2,65,20,37,5.0,9.0
2015-09-30,0,29.5,36.6,22.1,0.00,0.00,15.3,68,14,35,6.1,10.7
2015-10-01,0,29.0,36.4,21.4,0.00,0.00,10.3,62,14,33,4.6,7.3
2015-10-02,0,29.5,37.1,20.9,0.00,0.00,8.2,56,13,28,2.4,6.0
2015-10-03,0,30.3,37.9,23.2,0.00,0.00,14.0,45,13,25,3.6,8.8
2015-10-04,0,30.0,37.9,21.5,0.00,0.00,9.0,48,12,23,4.7,7.2
2015-10-05,0,30.0,37.6,22.2,0.00,0.00,11.9,36,14,24,4.7,8.5
2015-10-06,1,30.0,37.0,22.7,0.00,0.00,16.6,44,17,29,6.1,9.9
2015-10-07,0,29.6,36.8,21.5,0.00,0.00,16.8,61,18,33,3.4,9.3
2015-10-08,0,29.7,37.0,23.0,0.00,0.00,15.6,54,15,31,5.8,9.9
2015-10-09,0,29.2,36.6,21.6,0.00,0.00,19.8,52,14,29,5.7,11.0
2015-10-10,0,29.8,36.9,23.2,0.00,0.00,18.4,42,16,27,8.3,13.4
2015-10-11,0,29.6,36.7,22.9,0.00,0.00,16.2,46,15,28,7.2,11.8
2015-10-12,0,29.5,36.2,22.8,0.00,0.00,16.5,43,19,30,7.3,11.9
2015-10-13,0,29.6,36.2,23.6,0.00,0.00,15.6,51,18,33,7.9,11.7
2015-10-14,0,28.8,36.3,20.8,0.00,0.00,12.9,67,18,34,6.3,9.2
2015-10-15,1,28.7,34.9,22.2,0.00,0.00,11.7,78,22,45,2.5,7.2
2015-10-16,1,28.9,34.5,22.9,0.00,0.00,11.4,65,24,40,3.0,6.7
2015-10-17,0,29.1,36.3,21.6,0.00,0.00,13.1,69,19,37,4.4,8.4
2015-10-18,1,29.5,35.7,23.3,0.00,0.00,10.5,69,22,40,4.7,7.8
2015-10-19,2,29.6,35.4,24.2,0.00,0.00,11.5,65,22,38,5.5,8.3
2015-10-20,2,29.0,35.4,22.7,0.00,0.00,12.2,58,22,34,4.8,7.2
2015-10-21,2,28.0,34.3,22.1,0.00,0.00,11.9,50,22,35,1.8,7.5
2015-10-22,1,27.6,33.4,22.6,0.00,0.00,10.9,46,20,32,2.0,8.3
2015-10-23,3,26.2,33.3,19.1,0.00,0.00,12.1,51,15,27,3.3,7.4
2015-10-24,3,26.7,33.5,19.1,0.00,0.00,8.8,52,17,29,0.5,5.6
2015-10-25,2,26.6,33.4,19.5,0.00,0.00,13.1,58,18,35,3.3,8.3
2015-10-26,1,26.1,32.4,19.9,0.00,0.00,12.7,66,23,43,2.3,7.4
2015-10-27,55,24.2,30.3,20.2,1.30,1.30,8.7,81,36,59,1.6,5.8
2015-10-28,63,20.1,25.4,16.3,7.70,7.70,15.0,85,40,67,2.2,7.4
2015-10-29,2,20.1,25.4,14.8,0.00,0.00,12.8,85,40,62,5.4,9.1
2015-10-30,2,20.5,26.4,15.1,0.00,0.00,14.0,94,39,66,5.2,8.0
2015-10-31,1,21.1,26.9,15.5,0.00,0.00,14.5,90,40,64,5.1,8.5
2015-11-01,1,23.0,28.7,17.7,0.00,0.00,13.6,77,39,59,5.8,9.0
2015-11-02,2,24.2,29.3,19.1,0.00,0.00,10.2,77,38,57,5.3,7.6
2015-11-03,2,24.4,29.7,19.8,0.00,0.00,11.4,76,32,55,5.4,8.3
2015-11-04,2,25.9,31.6,20.5,0.00,0.00,10.1,73,26,48,4.8,7.8
2015-11-05,1,24.9,30.4,20.0,0.00,0.00,12.6,66,29,45,2.5,7.6
2015-11-06,1,23.9,30.0,18.6,0.00,0.00,13.7,85,27,52,3.0,7.2
